date,city,pax
2015-11-01,DEHRADUN,34422.0
2015-11-01,DELHI,2994237.0
2015-11-01,DHARAMSALA,7188.0
2015-11-01,DIBRUGARH,26619.0
2015-11-01,DIMAPUR,9629.0
2015-11-01,DIU,2617.0
2015-11-01,DURGAPUR,516.0
2015-11-01,GAYA,6515.0
2015-11-01,GOA,419644.0
2015-11-01,GORAKHPUR,1283.0
2015-11-01,GUWAHATI,229735.0
2015-11-01,HUBLI,4295.0
2015-11-01,HYDERABAD,814040.0
2015-11-01,IMPHAL,60005.0
2015-11-01,INDORE,133026.0
2015-11-01,JABALPUR,20386.0
2015-11-01,JAIPUR,223023.0
2015-11-01,JAMMU,98818.0
2015-11-01,JAMNAGAR,7887.0
2015-11-01,JODHPUR,25831.0
2015-11-01,JORHAT,4364.0
2015-11-01,KHAJURAHO,8717.0
2015-11-01,KOCHI,237110.0
2015-11-01,KOLKATA,918352.0
2015-11-01,KOZHIKODE,37209.0
2015-11-01,KULLU,1637.0
2015-11-01,LEH,19310.0
2015-11-01,LILABARI,323.0
2015-11-01,LUCKNOW,229694.0
2015-11-01,MADURAI,55495.0
2015-11-01,MANGALURU,75092.0
2015-11-01,MUMBAI,2567513.0
2015-11-01,MYSURU,215.0
2015-11-01,NAGPUR,132799.0
2015-11-01,PANTNAGAR,908.0
2015-11-01,PATNA,141869.0
2015-11-01,PORBANDAR,1416.0
2015-11-01,PORT BLAIR,75215.0
2015-11-01,PRAYAGRAJ,3823.0
2015-11-01,PUNE,432998.0
2015-11-01,RAIPUR,103349.0
2015-11-01,RAJAHMUNDRY,19253.0
2015-11-01,RAJKOT,35529.0
2015-11-01,RANCHI,59872.0
2015-11-01,SHILLONG,1274.0
2015-11-01,SILCHAR,17089.0
2015-11-01,SRINAGAR,148357.0
2015-11-01,SURAT,10845.0
2015-11-01,TEZPUR,175.0
2015-11-01,THIRUVANANTHAPURAM,99318.0
2015-11-01,TIRUCHIRAPPALLI,12091.0
2015-11-01,TIRUPATI,32480.0
