date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-06-01,BENGALURU – HYDERABAD,83532.0,BENGALURU,HYDERABAD,False,False,41908.0,41624.0
2015-06-01,BENGALURU – KOLKATA,67322.0,BENGALURU,KOLKATA,False,False,33345.0,33977.0
2015-06-01,AHMEDABAD – MUMBAI,158963.0,AHMEDABAD,MUMBAI,False,False,81105.0,77858.0
2015-06-01,DELHI – SRINAGAR,145721.0,DELHI,SRINAGAR,False,False,68668.0,77053.0
2015-06-01,BENGALURU – PUNE,90753.0,BENGALURU,PUNE,False,False,45411.0,45342.0
2015-06-01,DELHI – GUWAHATI,66712.0,DELHI,GUWAHATI,False,False,34229.0,32483.0
2015-06-01,DELHI – PATNA,80299.0,DELHI,PATNA,False,False,38357.0,41942.0
2015-06-01,BENGALURU – CHENNAI,62628.0,BENGALURU,CHENNAI,False,False,31719.0,30909.0
2015-06-01,DELHI – LUCKNOW,131477.0,DELHI,LUCKNOW,False,False,64164.0,67313.0
2015-06-01,CHENNAI – HYDERABAD,73620.0,CHENNAI,HYDERABAD,False,False,36561.0,37059.0
2015-06-01,BENGALURU – KOCHI,49944.0,BENGALURU,KOCHI,False,False,25247.0,24697.0
2015-06-01,KOCHI – MUMBAI,73894.0,KOCHI,MUMBAI,False,False,37923.0,35971.0
2015-06-01,BAGDOGRA – DELHI,51123.0,BAGDOGRA,DELHI,False,False,27584.0,23539.0
2015-06-01,BHUBANESWAR – DELHI,47435.0,BHUBANESWAR,DELHI,False,False,23017.0,24418.0
2015-06-01,AHMEDABAD – BENGALURU,25177.0,AHMEDABAD,BENGALURU,False,False,13007.0,12170.0
2015-06-01,JAIPUR – MUMBAI,53312.0,JAIPUR,MUMBAI,False,False,27031.0,26281.0
2015-06-01,CHENNAI – KOLKATA,51210.0,CHENNAI,KOLKATA,False,False,24552.0,26658.0
2015-06-01,DELHI – INDORE,38085.0,DELHI,INDORE,False,False,19377.0,18708.0
2015-06-01,AMRITSAR – DELHI,47177.0,AMRITSAR,DELHI,False,False,26157.0,21020.0
2015-06-01,HYDERABAD – VISAKHAPATNAM,47223.0,HYDERABAD,VISAKHAPATNAM,False,False,23864.0,23359.0
2015-06-01,HYDERABAD – KOLKATA,30471.0,HYDERABAD,KOLKATA,False,False,14459.0,16012.0
2015-06-01,DELHI – VARANASI,54744.0,DELHI,VARANASI,False,False,26145.0,28599.0
2015-06-01,GUWAHATI – KOLKATA,66585.0,GUWAHATI,KOLKATA,False,False,34754.0,31831.0
2015-06-01,LUCKNOW – MUMBAI,57378.0,LUCKNOW,MUMBAI,False,False,30128.0,27250.0
2015-06-01,DELHI – KOCHI,42331.0,DELHI,KOCHI,False,False,21430.0,20901.0
2015-06-01,MUMBAI – VARANASI,18368.0,MUMBAI,VARANASI,False,False,7764.0,10604.0
2015-06-01,DELHI – RANCHI,34842.0,DELHI,RANCHI,False,False,18155.0,16687.0
2015-06-01,CHANDIGARH – DELHI,38320.0,CHANDIGARH,DELHI,False,False,19748.0,18572.0
2015-06-01,CHENNAI – COIMBATORE,51673.0,CHENNAI,COIMBATORE,False,False,25716.0,25957.0
2015-06-01,DELHI – RAIPUR,29297.0,DELHI,RAIPUR,False,False,15073.0,14224.0
2015-06-01,AGARTALA – KOLKATA,45910.0,AGARTALA,KOLKATA,False,False,22566.0,23344.0
2015-06-01,BENGALURU – MANGALURU,21185.0,BENGALURU,MANGALURU,False,False,9953.0,11232.0
2015-06-01,DELHI – LEH,35507.0,DELHI,LEH,False,False,17307.0,18200.0
2015-06-01,BENGALURU – BHUBANESWAR,12958.0,BENGALURU,BHUBANESWAR,False,False,6385.0,6573.0
2015-06-01,BENGALURU – VARANASI,4024.0,BENGALURU,VARANASI,False,False,1908.0,2116.0
2015-06-01,BENGALURU – LUCKNOW,11206.0,BENGALURU,LUCKNOW,False,False,5017.0,6189.0
2015-06-01,CHENNAI – PUNE,54656.0,CHENNAI,PUNE,False,False,27042.0,27614.0
